State ,Number of persons currently on death row,Persons sentenced to death in 2019,Total no. of judgments,Judgments available,Judgments not available
Andhra Pradesh,0,0,0,0,0
Assam,10,4,4,2,2
Bihar,28,7,5,3,2
Chhattisgarh,8,1,1,0,1
NCT of Delhi,9,0,0,0,0
Gujarat,4,2,2,1,1
Haryana,11,0,0,0,0
Himachal Pradesh ,3,0,0,0,0
Jammu and Kashmir,10,0,0,0,0
Jharkhand,23,8,6,4,2
Karnataka,27,8,10,7,3
Kerala,19,4,4,4,0
Madhya Pradesh ,34,11,11,10,1
Maharashtra,45,7,7,4,3
Manipur,2,2,2,1,1
Odisha,5,4,4,2,2
Punjab,8,2,2,1,1
Rajasthan,16,13,7,1,6
Tamil Nadu,13,3,3,1,2
Telangana,7,1,1,1,0
Tripura,2,1,1,0,1
Uttarakhand,14,2,2,2,0
Uttar Pradesh ,54,11,8,7,1
West Bengal,26,8,4,2,2
TOTAL,378,99,84,53,31
TOTAL Death Sentences Imposed (Including same person sentenced more than once),,102,,,
